num,char_slug,emotion,text_ko,text_en
028,commander,[resolute],"들어간다. 아우레우스 태양핵 셋, 메카니카 양자칩 셋 — 충분해.","We're going in. Three Aureus Solar Cores, three Mechanica quantum chips — that's enough."
029,commander,[resolute][hesitant],진입한다.,... We're going in.
030,commander,[resolute],전 함대. 진형 학익진. 거북선 중앙. 진입한다.,All ships. Crane Wing Formation. Geobukseon at center. We're going in.
031,commander,[resolute],아이젠클로. 100년 동안 인류를 가뒀던 책임 — 오늘 끝낸다.,Eisenklaue. The crime of caging humanity for a hundred years — ends today.
032,commander,[resolute][hesitant],발사.,... Fire.
033,commander,[resolute][hesitant],모두. 발사.,... Everyone. Fire.
034,commander,[resolute][hesitant],백구.,... Baekgu.
035,commander,[resolute][hesitant],내려간다.,... We're going down.
036,commander,[resolute][hesitant],어디든. 우리는 함께다.,... Anywhere. We go together.
037,commander,[resolute],이순신 제독님.,Admiral Yi Sun-sin.
038,commander,[resolute],아직 봉쇄 중입니다.,The blockade still holds.
039,commander,[resolute],네. 100년이 지났습니다.,Yes. A hundred years have passed.
040,commander,[resolute][hesitant][curious],당신은…?,You're...?
041,commander,[resolute],찾았습니다. 설계도 1권을 가지고 있습니다.,Found it. I have one of the blueprints.
042,commander,[resolute][curious],예상했다고요?,You expected this?
043,commander,[resolute],광개토대왕.,Gwanggaeto the Great
044,baekgu,[matter-of-fact],"사령관. 기상하세요. 에너지 잔량 7% — 이 경보 울리려고, 마지막 한 줌까지 긁어모았어요.",{commander}. Wake up. Energy at 7% — I scraped together the very last of it just to sound this alarm.
045,baekgu,[matter-of-fact],"100년 3개월 12일. 그동안 저는 한 번도 전원을 끄지 않았어요. 끄면, 깨워 줄 사람이 없을 것 같아서요.","A hundred years, three months, twelve days. I never once shut myself down — I was afraid no one would be left to wake you."
046,baekgu,[matter-of-fact],"우르사 메이저의 봉쇄, 그대로입니다. 떠날 때보다 오히려 더 조여졌어요.",Ursa Major's blockade holds. Tighter now than the day we left.
047,baekgu,[matter-of-fact],네. 그러니 감상은 나중에 하세요 — 일단 살아야 그 고향에 갑니다. 격납고에 고철 프레임이 흩어져 있어요. 수거하면 멈춘 엔진에 다시 불을 붙일 수 있습니다.,"It is. So save the sentiment for later — we survive first, then we reach it. The hangar's littered with Scrap Frames. Salvage them and we can light the dead engine again."
048,baekgu,[matter-of-fact],"볼프 교역소예요. 수퍼비아 내권역의 낡은 정거장 — 그런데 사령관님, 불이 켜져 있어요. 100년 만에 처음 보는 '살아있는' 신호입니다.","The Wolf Trading Post. An old station in the inner Superbia region — but Commander, the lights are on. First 'living' signal I've seen in a hundred years."
049,baekgu,[matter-of-fact],"버티는 거죠, 우리처럼. 저들에게 중력수정을 싸게 사서 아우레우스에 넘기면 40% 차익 — 첫 자금이에요.","Holding on, like us. Buy their gravity crystals cheap, sell them on Aureus — 40% margin. That's our first funds."
050,baekgu,[matter-of-fact],"큰 불도 불씨 하나에서 시작해요. 살아남는 게, 반격의 첫 걸음입니다.",Even a wildfire starts from one ember. Surviving is the first step of the counterattack.
051,baekgu,[matter-of-fact][alert][hesitant],"사령관님, 저 안쪽 노인한테서 100년 묵은 데이터 냄새가 나요. 제가 먼저 가볼게요.","(ears perked) …Commander, that old man in the back — I catch a hundred-year-old data scent on him. Let me go first."
052,baekgu,[matter-of-fact],"설계도 단편 1/3, 골격도예요. 사령관님, 이건 단순한 함선이 아닙니다. 우르사 메이저조차 두려워했던 전설이에요.","Blueprint fragment one of three — the frame schematic. Commander, this is no ordinary ship. It's a legend that even Ursa Major feared."
053,baekgu,[matter-of-fact],"나머지 두 조각을 모으는 길이, 곧 그 전설을 만나는 길입니다.",The path to gathering the other two pieces is the path to meeting that legend.
054,baekgu,[matter-of-fact][whispers],"마르코 폴로 — 정보 브로커 등록. 허풍인지 진짜인지는, 제가 지켜볼게요.","Marco Polo — registered as an information broker. Whether it's bluster or the real thing, I'll be watching."
055,baekgu,[matter-of-fact],"아우레우스 내권역이에요. 세금도 규정도 빡빡해요 — 대신 수퍼비아 중력수정은 여기선 희귀품, 비싸게 팔려요.","Inner Aureus region. Taxes and rules are tight here — but Superbia gravity crystals are rare, so they sell high."
056,baekgu,[matter-of-fact],거북선 설계도 단편 2/3 확보 — 외피 가시 돌기 구조도. 코어 단편 하나만 더면 복원됩니다.,Turtle Ship blueprint fragment two of three secured — the hull spike schematic. Just one more core fragment and it's restored.
057,baekgu,[matter-of-fact][growls][hesitant],"크리그 소형 3, 중형 지휘선 1. 그리고 — 민간 광부 7명이 안에 잡혀 있어요. …이건, 마음에 안 들어요.","Three Krieg light craft, one medium command ship. And — seven civilian miners held inside. (a low growl) …I don't like this one bit."
058,baekgu,[matter-of-fact],"해적 소형 2, 지휘선 1 — 외곽 배치. 제가 먼저 길 열게요.","Two pirate light craft, one command ship — perimeter deployment. I'll open the way first."
059,baekgu,[matter-of-fact],생존 확률 62%. 이순신 구출 시 크리그 전략 정보 확보 89%.,Survival odds: 62%. Odds of securing Krieg strategic intel if we rescue Yi Sun-sin: 89%.
060,baekgu,[matter-of-fact][warm][hesitant],"사실은, 사령관님이랑이면 100%라고 적고 싶었어요. …그냥요.","…Honestly, with you I wanted to log it as 100%. (tail wagging) …Just saying."
061,baekgu,[matter-of-fact][growls][hesitant],"말로 통할 상대가 아니에요. 전투 모드 전환, 적 3기 포착.","(a low growl) …Not the type that listens to words. Switching to combat mode, three enemy units detected."
062,baekgu,[matter-of-fact][whispers][hesitant],"우주어 자동 번역 활성화. …100년입니다, 장군님.","Auto-translation of the star tongue is active. ...It's been a hundred years, Admiral."
063,baekgu,[matter-of-fact],SW01 무기 세트 + SA01 장갑 세트 자동 장착 완료. 화력 대폭 상승.,Legendary weapon set and armor set auto-equipped. Firepower sharply up.
064,baekgu,[matter-of-fact][warm],"임무 완료. 다음 항로 — 저항군에게 손을 내밀러 갑니다. 이제, 혼자가 아니에요.",Mission complete. Next route — to extend a hand to the resistance. (tail wagging) We're not alone anymore.
065,baekgu,[matter-of-fact],페스작센 외곽 — 약 200년 전 좌표의 잔해 신호 감지. 옛 지구 해군 식별 코드 'HMS Victory'.,On the frontier of Schmelz — wreckage signal detected at coordinates roughly 200 years old. Old-Earth navy identification code 'HMS Victory'.
066,baekgu,[matter-of-fact],영웅 합류: 호레이쇼 넬슨. 옛 지구 해군 진형 데이터 입수 → 학익진 명중률 +15%.,Hero joined: Horatio Nelson. Old-Earth navy formation data acquired → Crane Wing accuracy +15%.
067,baekgu,[matter-of-fact],공장 지하 연구동에서 보존 캡슐 발견 — 생체 반응! 살아있어요.,Found a preservation capsule in the factory's underground lab — a biosign! Someone's alive.
068,baekgu,[matter-of-fact],"임무 완료. 집행관 격파, 이휘소 박사 합류. 이제 캅테인 균열을 지나 — 우르사 메이저의 본거지로 향합니다.","Mission complete. The enforcer is down, and Dr. Lee Hwi-so has joined us. Now we pass through the Kapteyn rift — on to Ursa Major's stronghold."
069,baekgu,[matter-of-fact][growls][excited][hesitant],"아이젠클로 기함 포착 — 크기 2배, 장갑 등급 이상. …이 냄새, 적의 우두머리예요. 전 함선, 전투 준비!","Eisenklau's flagship spotted — twice the size, armor off the charts. ...This scent — it's the enemy's chief. All ships, battle stations!"
070,baekgu,[matter-of-fact],캅테인b 균열. 시공이 뒤틀려 있어요. 아우레우스 태양핵 안정화 코어가 없으면 함대가 분해돼요.,"Captain b a rift, Captain b a rift. Spacetime is warped here. Without an Aureus Solar Core stabilizer, the fleet will be torn apart."
071,baekgu,[matter-of-fact],⚠ 좌우 시공축 ±0.3 변동. 함대 자세 보정 중.,(spacetime distortion) ⚠ Lateral spacetime axis fluctuating ±0.3. Correcting fleet attitude.
072,baekgu,[matter-of-fact],영웅 합류: A. 아인슈타인. 8영웅 완전체 — 함대 최종 강화 상태.,Hero joined: A. Einstein. All eight heroes complete — fleet at maximum reinforcement.
073,baekgu,[matter-of-fact],거북선 + 8영웅 + 보이드 방어막 해석 장비 + 시공 보정 알고리즘 — 모든 준비 완료.,Turtle Ship + 8 heroes + Void-shield decoding gear + spacetime-correction algorithm — all preparations complete.
074,baekgu,[matter-of-fact],"임무 완료. 이제, 마지막입니다 — 제타 레티쿨리, 그리고 지구. 우르사 메이저를 끝장내고, 지구를 되찾으러 갑니다.","Mission complete. This is the last of it now — Zeta Reticuli, and then Earth. We finish Ursa Major, and we go take Earth back."
075,baekgu,[matter-of-fact],제타 레티쿨리. 우르사 메이저 본거지에 도착했어요. 적함 신호 — 총 30기 식별.,Zeta Reticuli. We've reached the Ursa Major stronghold. Enemy signatures — thirty hostiles identified.
076,baekgu,[matter-of-fact],전투력 1천만 단위! 하지만 — 거북선과 8영웅이 함께라면 못할 게 없어요.,"Combat ratings in the tens of millions! But — with the Geobukseon and the eight heroes together, there's nothing we can't do."
077,baekgu,[matter-of-fact],사령관. 100년 3개월 12일 동안 — 당신을 기다린 보람이 있었어요.,"Commander. For 100 years, 3 months, and 12 days — waiting for you was worth it."
078,baekgu,[matter-of-fact],좌표 — 지구. 항법 입력 완료. 가시죠.,Coordinates — Earth. Navigation entry complete. Let's go.
079,baekgu,[matter-of-fact],이겨야 하는 싸움입니다.,This is a fight we have to win.
080,baekgu,[matter-of-fact][hesitant],사령관… 저도 이제 알겠습니다. 저는 100년간 당신을 기다리도록 설계된 프로그램이었습니다.,Commander... now I understand too. I was a program designed to wait a hundred years for you.
081,baekgu,[matter-of-fact],10만 크레딧 무역 실적 보유 팀이 왔습니다.,A team with a hundred thousand credits in trade has arrived.
082,baekgu,[matter-of-fact],지금 위치: . 행성 광장에서 퀘스트·상점·주점 이용 가능.,"Here we are. At the planet plaza you can use quests, the shop, and the tavern."
083,baekgu,[matter-of-fact],잡파츠 정리 완료. 크레딧 들어왔어.,Scrap parts cleared. Received {cr} credits.
084,baekgu,[matter-of-fact][hesitant],강화 실패... 이 단계 후퇴해서 +이 됐어. 재료를 더 모아서 다시 도전해.,Enhancement failed... it slipped back a stage. Gather more materials and try again.
085,baekgu,[matter-of-fact][hesitant],강화 실패... 다음엔 운이 따르길.,Enhance failed... better luck next time.
086,baekgu,[matter-of-fact][excited],"검은 함선과의 만남 끝났어. 보이드가 선물로 팔콘 척, 신화 설계도 장, 신화 파츠 5종, VC 개, VE 을 남겼어. 보이드 행성 100% 투자하면 마지막 시험 열려!","The encounter with the black ship is done. The Void left Falcons ×{cap}{luck}, {bp} mythic blueprints, 5 mythic parts, VC {vc}, VE {ve}. Invest 100% in Void planets to open the final trial!"
087,baekgu,[matter-of-fact],신화급 파츠야! . 상점에서는 절대 못 사는 거야.,A mythic part! {nm}. Never sold at any shop.
088,baekgu,[matter-of-fact][excited],설계도 드랍! 설계도야. 재료 모아서 제작소에서 만들어봐!,Blueprint drop! {nm} blueprint. Gather materials and craft it at the Workshop!
089,baekgu,[matter-of-fact][excited],"넬슨의 일점사야! 전 함대, 한 척에 화력 집중! ATT 두 배!",Nelson’s focus fire! Concentrate all firepower on {nm}! ATT ×2!
090,baekgu,[matter-of-fact],신화 5종 받았어. 정비소에서 장착해.,Got five mythic items. Equip them at the workshop.
091,baekgu,[matter-of-fact],추가 설계도 — 제작소 가능.,An extra blueprint — craftable at the workshop.
092,baekgu,[matter-of-fact],먼저 이 전투부터 끝내야 합니다. 끝나기 전에 도망갈 수도 없어요.,You must finish this battle first. No retreat mid-combat.
093,baekgu,[matter-of-fact],"사령관, 은 이미 대를 보유 중입니다. 같은 함선을 더 늘려도 함대 다양성이 떨어져 전술적으로 손해예요. 다른 함선을 합류시켜 시너지를 노려야 합니다 — 호위 함선의 특성·무장이 다양해야 적의 약점을 모두 찌를 수 있어요. 다른 함선을 함대에 넣어보세요.","Commander, you already operate {max} {nm} vessels. Adding more of the same hurts fleet diversity — variety in escort types lets you exploit every enemy weakness. Recruit a different ship class into the fleet instead."
094,baekgu,[matter-of-fact],치크스 합병 완료. 이제 우리 땅이야.,Chiks {nm} merger complete. Our territory now.
095,baekgu,[matter-of-fact],낙찰. 세금 ₡ 들어온다.,Sold. The tax credits are coming in.
096,baekgu,[matter-of-fact],구매 완료.,Purchase complete.
097,baekgu,[matter-of-fact],합류. 잘 써.,They've joined. Put them to good use.
098,baekgu,[matter-of-fact],기함 승격. 전투 시 중앙에 배치돼.,{nm} promoted to flagship. Placed at center in battle.
099,baekgu,[matter-of-fact],충성도 야. 곧 이탈할 수도 있어. 빨리 크루 태워.,{nm} loyalty {loy}. May defect soon. Assign crew quickly.
100,baekgu,[matter-of-fact][excited],충성도 만렙이야. 이제 한층 더 강해졌어!,{nm} loyalty maxed. Even stronger now!
101,baekgu,[matter-of-fact],충성도가 너무 낮아서 적에게 넘어갔어. 크루를 신경 써야 해.,{nm} loyalty too low — defected to the enemy. Care for the crew.
102,baekgu,[matter-of-fact],최고 레벨 보상! 들어왔어.,Top-level reward! It's in.
103,baekgu,[matter-of-fact],파츠 슬롯 추가 완료. 더 강력하게 무장할 수 있어.,{nm} parts slots added. Stronger armament possible.
104,baekgu,[matter-of-fact],출격 준비 완료. 즉시 전열에 투입.,{nm} ready for sortie. Deploying to the front line.
105,baekgu,[matter-of-fact],출격! 파츠/크루는 자동 회수했어. 새 함선에 다시 배치해줘.,{rs} sortie! Auto-recovered {ac} parts/crew. Re-deploy on the new ship.
106,baekgu,[matter-of-fact],정비소에 ₡에 매각했어. 파츠랑 크루는 잘 챙겨놨고.,Sold {nm} at the Garage for ₡{cr}. Parts and crew secured.
107,baekgu,[matter-of-fact],의 홀로그램 외피를 형태로 재구성했어. 능력치는 그대로니까 안심해.,"Reconfigured {nm} hologram skin to {skin}. Stats unchanged, no worries."
108,baekgu,[matter-of-fact],의 홀로그램 외피 해제. 원본 외관으로 돌아왔어.,{nm} hologram skin removed. Returned to original appearance.
109,baekgu,[matter-of-fact][excited],🎉 축하해! 이 + 강화에 성공했어. 능력치가 % 상승!,Congratulations! The enhancement succeeded. Stats are up!
110,baekgu,[matter-of-fact],에 탑승. 함선 성능 올라갔어.,Boarded. Ship performance is up.
111,baekgu,[matter-of-fact],팔았어. ₡ 들어왔다. 잘 썼네.,Sold. The credits are in. Money well spent.
112,baekgu,[matter-of-fact],으로 이름 바꿨어. 새 출발이네.,Renamed to {nm}. Fresh start.
113,baekgu,[matter-of-fact],기함 변경. 주의해서 타.,{nm} flagship changed. Take care.
114,baekgu,[matter-of-fact],창고 칸으로 확장.,Expanded the cargo hold.
115,baekgu,[matter-of-fact][excited],이제 최대야!,At the maximum now!
116,baekgu,[matter-of-fact],다음 확장은 더 비싸질 거야.,Next expansion will cost more.
117,baekgu,[matter-of-fact],샀어. 정비소 → 파츠 → 오른쪽 창고 확장 슬롯에 장착하면 그 함선 화물칸이 + 늘어나.,"Bought {nm}. At Garage → Parts → right Hold-expansion slot, equip to add +{bonus} cargo to that ship."
118,baekgu,[matter-of-fact],장착! /척 완료. 전 함선 장착하면 순간이동 가능해.,Equipped! Outfit the whole fleet and you'll be able to warp-jump.
119,baekgu,[matter-of-fact],합류! 은 하선했어.,They've joined! The other one has disembarked.
120,baekgu,[matter-of-fact][excited],전설 영웅 등장! 대박이야!,Legendary Hero appeared! Jackpot!
121,baekgu,[matter-of-fact][excited],전설급이야! 대박!,Legend-tier! Jackpot!
122,baekgu,[matter-of-fact][excited],영웅급 크루 영입!,Hero-tier crew recruited!
123,baekgu,[matter-of-fact],크루 영입 완료. 함선에 탑승시켜봐.,Crew recruited. Assign them to a ship.
124,baekgu,[matter-of-fact],상업 레벨 . 세금 ₡ 들어온다.,Commerce level up. Tax credits coming in.
125,baekgu,[matter-of-fact],가 합류하려 해! 전설급이야. 교체할 크루를 골라봐.,{nm} wants to join! Legend-tier. Pick a crew to swap.
126,baekgu,[matter-of-fact],가 합류했어! 전설급이야. 함선에 태워봐.,{nm} joined! Legend-tier. Assign to a ship.
127,baekgu,[matter-of-fact],세트 아이템이야! . 세트 완성하면 추가 보너스가 붙어.,A set item! {nm}. Complete the set for extra bonuses.
128,baekgu,[matter-of-fact],전설 파츠야! . 상점에서는 못 사는 거야.,A legend part! {nm}. Not available at shops.
129,baekgu,[matter-of-fact],퀘스트 보상 지급. 크레딧.,Quest reward paid out. Credits in.
130,baekgu,[matter-of-fact][excited],레벨 보너스 ×배!,"Level bonus, multiplied!"
131,baekgu,[matter-of-fact],발견!,Discovered
132,baekgu,[matter-of-fact],전설급이네. 대박이다.,Legend-tier. Jackpot.
133,baekgu,[matter-of-fact],꽤 좋은 파츠야.,A pretty good part.
134,baekgu,[matter-of-fact],회수 완료. 함대에 추가됐어.,{nm} salvaged. Added to the fleet.
135,baekgu,[matter-of-fact][excited],대박! 이야. 능력치 +% 상승!,Jackpot! Stats are up!
136,baekgu,[matter-of-fact],아쉽지만 이 나왔어. 다시 도전해봐.,"Ah, that's what came out. Give it another try."
137,baekgu,[matter-of-fact],완성! .,Done!
138,baekgu,[matter-of-fact],완성! 정비소 파츠창 오른쪽 창고 확장 슬롯에 장착하면 그 함선 화물칸이 + 늘어나.,{nm} crafted! Equip at Garage parts panel right Hold-expansion slot for +{bonus} cargo.
139,baekgu,[matter-of-fact][excited],함선 완성! 이야. 편대 확인해봐!,Ship complete! Go check your formation!
140,baekgu,[matter-of-fact],완성. .,Complete.
141,baekgu,[matter-of-fact],탑승. 이제 그 함선 1.2배 강해졌어.,{nm} boarded. The ship is now 1.2× stronger.
142,baekgu,[matter-of-fact],지구는 봉쇄됐어. ACT 3에 도달해야 진입할 수 있어!,Earth is blockaded. You must reach ACT 3 to enter!
143,baekgu,[matter-of-fact],항로에서 뭔가 잡혔어. 조심해.,Picked up something on the route. Careful.
144,baekgu,[matter-of-fact][excited],⚠️ 이 행성은 아직 해금되지 않았어. 해적을 퇴치해야 시설을 이용할 수 있어!,⚠️ This planet is not unlocked yet. Defeat pirates to access facilities!
145,baekgu,[matter-of-fact][excited],에서 퀘스트 클리어하면 설계도가 5% 확률로 드랍돼. 도전해봐!,Clearing quests at {nm} drops the {bp} blueprint at 5%. Try it!
146,baekgu,[matter-of-fact],/개. 이 행성 상점에서 살 수 있어. 제작에 필요해.,You can buy this at the planet's shop. It's needed for crafting.
147,baekgu,[matter-of-fact],은 산지야. 상점에서 구할 수 있어. 제작소 재료로 쓰여.,{nm} is the source of {mat}. Available at the shop. Used as a craft material.
148,baekgu,[matter-of-fact],지구는 자유야. 이제부터는 새로운 시대 — 별들이 우리의 친구야. 자유롭게 항해해도 좋아.,"{nm}, Earth is free. A new era begins — the stars are our friends. Sail freely."
149,baekgu,[matter-of-fact],메가 충전 완료! 다시 빠르게 진행해 봐.,"{nm}, mega charge complete! Speed ahead again."
150,baekgu,[matter-of-fact][excited],맥스 치트 적용! 모든 게 풀렸어 — 즐겁게 플레이해!,"{nm}, max cheat applied! Everything is unlocked — enjoy!"
151,baekgu,[matter-of-fact],응? 뭔가 물어봐야 대답하지.,Hm? You have to ask something for me to answer.
152,baekgu,[matter-of-fact],크레딧 거의 없어. 무역이나 퀘스트로 충전해.,We're low on credits. Run trades or quests to refill.
153,baekgu,[matter-of-fact],해적들이 강해졌어. 조심해.,Pirates have gotten stronger. Be careful.
154,baekgu,[matter-of-fact],해적이 더 강해졌다. 파츠 업그레이드해.,Pirates are even stronger now. Upgrade your parts.
155,baekgu,[matter-of-fact],해적 전투력 최대치. 최고 장비 갖춰.,Pirate power is maxed out. Get top-tier gear.
156,baekgu,[matter-of-fact],같은 자리에 너무 오래 있으면 해적들이 냄새 맡는다. 다음 턴엔 이동해.,Stay too long and pirates will sniff us out. Move next turn.
157,baekgu,[matter-of-fact],간신히 따돌렸어. 항로 주의해.,Barely shook them off. Watch the route.
158,baekgu,[matter-of-fact],겨우 빠져나왔어. 빨리 이 구역 떠나자.,We just made it out. Let’s leave this sector fast.
159,baekgu,[matter-of-fact],도망쳤어. 다음엔 일찍 움직여.,We ran. Next time move earlier.
160,baekgu,[matter-of-fact][excited],전 함대 워프 엔진 장착 완료! 이제 은하계 어디든 순간이동할 수 있어. 은하계 경로 열어봐!,Warp engines installed across the fleet! We can jump anywhere in the galaxy now. Open the galaxy map!
161,baekgu,[matter-of-fact],영입 거절. 현재 크루 유지.,Recruit declined. Keeping the current crew.
162,baekgu,[matter-of-fact][excited],보이드 크리스탈이야! 우르사 메이저 보스전 진입 재료. 이걸로 한 번 더 도전 가능!,A Void Crystal! Key to the Ursa Major boss fight. One more attempt unlocked!
163,baekgu,[matter-of-fact],전설 동료 영입 거절. 현재 크루 유지.,Legendary companion declined. Keeping the current crew.
164,baekgu,[matter-of-fact],잔해 신호 듣고 해적들이 추가로 몰려왔다! 조심해.,Pirates picked up the wreckage signal and swarmed in! Stay alert.
165,baekgu,[matter-of-fact],탐색 시작. 잔해 구역 접근 중.,Beginning search. Approaching the debris zone.
166,baekgu,[matter-of-fact],이번엔 없네. 다시 탐색해봐.,Nothing this time. Try searching again.
167,baekgu,[matter-of-fact],이번엔 별다른 게 없네. 다시 시도해봐.,Nothing special this time. Try again.
168,baekgu,[matter-of-fact],잔해 탐색 완료. 퀘스트 보상 받아.,Debris search complete. Claim your quest reward.
169,baekgu,[matter-of-fact][excited],소문 하나 — 전설의 영웅 이 에서 목격됐대요. 그 행성 퀘스트를 진행하면 만날 수 있을 거예요!,A little rumor — a legendary hero was sighted out there. Take that planet's quest and you just might meet them!
170,baekgu,[matter-of-fact],잔해 일부 발견. 계속 탐색해야 해.,Found partial debris. Keep searching.
171,baekgu,[matter-of-fact],목적지 도착. 퀘스트 탭에서 보상 받아.,Arrived at destination. Claim the reward in the Quest tab.
172,baekgu,[matter-of-fact],빌려줄게. 빨리 갚아.,I'll lend it. Pay it back soon.
173,baekgu,[matter-of-fact][hesitant],제작 중이야... 잠깐만 기다려.,Crafting in progress... Hold on a moment.
174,baekgu,[matter-of-fact],매수 의뢰 보고 완료. 보상 받으러 가자.,Buy commission reported. Time to collect the reward.
175,baekgu,[matter-of-fact],입찰 경쟁에서 졌어. 더 높게 써야 했는데.,Lost the bid war. Should have bid higher.
176,baekgu,[matter-of-fact],통행세 내고 무사 통과! 안전이 최우선이지~,Paid the toll and passed safely! Safety first~
177,baekgu,[matter-of-fact][excited],"소행성대 돌파야! 방향키나 마우스로 회피, Shift로 레이저, Ctrl로 미사일! 50초 버텨!","Asteroid belt breach! Dodge with arrow keys or mouse, Shift for lasers, Ctrl for missiles! Hold out 50 seconds!"
178,baekgu,[matter-of-fact],블랙홀로 가는 진입로는 치크스 행성 근처에서만 열려. 치크스 행성이나 그 인접 행성으로 이동한 뒤 다시 시도해.,The black-hole entry only opens near hostile Chiks planets. Move to a Chiks planet or an adjacent one and try again.
179,baekgu,[matter-of-fact][hesitant],저긴 은하 중심의 블랙홀... 먼저 지구를 해방해야 실마리가 잡힐 거야.,That is the black hole at the galactic core... You need to liberate Earth (defeat Ursa Major) first to get a lead.
180,baekgu,[matter-of-fact][excited][hesitant],지구다... 우르사 메이저가 우리를 기다리고 있어. 모든 화력 준비!,Earth ahead... Ursa Major is waiting for us. Ready all firepower!
181,baekgu,[matter-of-fact][excited][hesitant],지구다... 우르사 메이저가 기다린다. 모든 화력 준비!,Earth ahead... Ursa Major awaits. Ready all firepower!
182,baekgu,[matter-of-fact],이 구역은 지구 저항군 지역이야. 상점에서 난중일기 영인본 구입하면 이순신 영입 가능해.,This sector is Earth Resistance territory. Buy a copy of Nanjung Ilgi at the shop to recruit Yi Sun-shin.
183,baekgu,[matter-of-fact],난중일기 있어. 이 행성에 이순신이 있으면 영입 가능해.,"You have Nanjung Ilgi. If Yi Sun-shin is on this planet, you can recruit him."
184,baekgu,[matter-of-fact],한발 물러섰어. 충분히 강해진 후 다시 도전해도 돼.,Backed off a step. You can challenge again once strong enough.
185,baekgu,[matter-of-fact],통행료 냈어. 자존심은 상하지만 함선은 멀쩡하잖아. 다음엔 박살내자.,"Paid the toll. Pride hurts, but at least the ship is intact. Next time we crush them."
186,baekgu,[matter-of-fact],도망쳤어. 다음엔 더 강해진 다음에 부딪치자.,We fled. Let's hit them after we get stronger.
187,baekgu,[matter-of-fact][excited],학익진이다! 함대가 양 날개로 포위! 적을 가운데로 몰아넣어. 화력 3배 폭격!,Crane Wing Formation! Fleet flanks both wings! Drive the enemy to the center. Triple firepower barrage!
188,baekgu,[matter-of-fact],아인슈타인의 상대성 이론! 시간축이 휘어진다! 적은 한 번 맞는데 우린 네 번 친다.,Einstein's Relativity! Time bends! Enemies hit once while we strike four times.
189,baekgu,[matter-of-fact][excited],테슬라의 전자기 초공간! 함선 무기가 번개로 변했어! 폭딜의 시작!,Tesla's electromagnetic hyperspace! Ship weapons turn to lightning! The burst-damage begins!
190,baekgu,[matter-of-fact],제네시스 임펙트! 영웅들의 의지가 한 점에 모였어! 적은 시공간에서 사라진다.,Genesis Impact! The heroes' wills converge on one point! Enemies vanish from space-time.
